cell_id,escenario,escala_planta,utilizacion,restriccion_ambiental,pendiente_pct,riesgo_pendiente,dist_gasoducto_km,sitio_viable,capex_base,capex_geoespacial,capex_ajustado,ingresos_totales,coste_feedstock,opex_variable,opex_fijo,opex_total,ebitda,margen_ebitda,cash_flow_anual,NPV,IRR,Payback,score_economico,clasificacion
13735,Base,Grande,1.0,Baja,5.940352803953,Medio,0.006296018772131139,True,15000000,951524.7618031965,15951524.761803197,7825000.0,2148265.843425,3448265.843425,1104030.4952360638,4552296.338661063,3272703.6613389365,0.4182368896279791,2329136.4920342555,3984669.403035598,0.11896465872910689,6.848686118807584,57.6,Marginal
13735,Optimista,Grande,1.0,Baja,5.940352803953,Medio,0.006296018772131139,True,15000000,951524.7618031965,15951524.761803197,9900000.0,2148265.843425,3148265.843425,1024030.495236064,4172296.338661064,5727703.661338937,0.5785559253877713,4066636.4920342555,18856763.623307664,0.24546472901058225,3.922535194146098,94.1,Muy Atractivo
13802,Pesimista,Grande,1.0,Baja,2.8664712083814226,Bajo,0.5949453968291541,True,15000000,781396.4436587632,15781396.443658764,5775000.0,2410691.4264249997,4210691.426425,1260627.9288731753,5471319.355298175,303680.64470182545,0.052585393021961115,14930.644701825455,-15653597.908536488,-0.322198698937328,1056.9802415651411,17.3,No Recomendable
13802,Base,Grande,1.0,Baja,2.8664712083814226,Bajo,0.5949453968291541,True,15000000,781396.4436587632,15781396.443658764,7825000.0,2410691.4264249997,3710691.4264249997,1100627.9288731753,4811319.355298175,3013680.6447018255,0.3851349066711598,2132033.7575873486,2467701.0663497206,0.10480226132138615,7.4020387282785345,51.9,Marginal
13802,Optimista,Grande,1.0,Baja,2.8664712083814226,Bajo,0.5949453968291541,True,15000000,781396.4436587632,15781396.443658764,9900000.0,2410691.4264249997,3410691.4264249997,1020627.9288731753,4431319.355298175,5468680.644701825,0.5523919843133157,3869533.757587348,17339795.286621787,0.23483550139900888,4.078371564200658,93.9,Muy Atractivo
13344,Pesimista,Grande,1.0,Baja,4.807267267356235,Bajo,4.5850944177785395,True,15000000,2011538.2725406785,17011538.272540677,5775000.0,2240548.8682500003,4040548.8682500003,1285230.7654508136,5325779.633700814,449220.3662991859,0.07778707641544344,160470.3662991859,-15637995.59215906,-0.1817655176480163,106.01046576302967,18.3,No Recomendable
13344,Base,Grande,1.0,Baja,4.807267267356235,Bajo,4.5850944177785395,True,15000000,2011538.2725406785,17011538.272540677,7825000.0,2240548.8682500003,3540548.8682500003,1125230.7654508136,4665779.633700814,3159220.366299186,0.40373423211491194,2261690.9126000674,2347356.8925363384,0.10196309134177484,7.521601726287172,51.2,Marginal
13344,Optimista,Grande,1.0,Baja,4.807267267356235,Bajo,4.5850944177785395,True,15000000,2011538.2725406785,17011538.272540677,9900000.0,2240548.8682500003,3240548.8682500003,1045230.7654508136,4285779.633700814,5614220.366299186,0.5670929662928471,3999190.9126000674,17219451.112808406,0.22370925506782413,4.253744981001833,93.6,Muy Atractivo
13738,Pesimista,Grande,1.0,Baja,5.672171933852135,Medio,0.4255738993076269,True,15000000,1049676.697726044,16049676.697726045,5775000.0,2234162.2789249998,4034162.2789249998,1265993.533954521,5300155.8128795205,474844.18712047953,0.0822241016658839,186094.18712047953,-14456807.469121318,-0.16649423380631623,86.24491149385176,18.5,No Recomendable
13738,Base,Grande,1.0,Baja,5.672171933852135,Medio,0.4255738993076269,True,15000000,1049676.697726044,16049676.697726045,7825000.0,2234162.2789249998,3534162.2789249998,1105993.533954521,4640155.8128795205,3184844.1871204795,0.4070088418045341,2264877.751969127,3336496.151012281,0.1126646252231085,7.086332444994948,55.1,Marginal
