cell_id,score,biomasa_10km,dist_gasoducto,dist_carretera,pendiente_media,pts_carretera,pts_suelo,dist_nucleos,red_natura,cluster,purin_bruto_t_anio,purin_mov_t_anio,biometano_Nm3h,biometano_año_m3,capex_total_€,capex_total_M€,opex_fijo_€,coste_feedstock_€,opex_variable_€,amortizacion_anual_€,costes_totales_€,ingreso_pesimista_€,margen_pesimista_€,margen_pesimista_M€,ingreso_base_€,margen_base_€,margen_base_M€,ingreso_optimista_€,margen_optimista_€,margen_optimista_M€,proporcion_biomasa,stock_proyectado_15a,viable,viable_pred,margen_pred_€,margen_pred_M€
1783,61.96,269574.0,9078.747106757597,8214.116013127461,10.087831420898437,2,3.0,7398.356559119307,0,1.0,382654.0,276467.0,631.2,5529350.0,5879646.0,5.88,902593.0,939988.0,663522.0,391976.0,2898079.0,3509963.0,611884.0,0.61,4339366.0,1441287.0,1.44,5168768.0,2270689.0,2.27,0.05200782893638941,441406.0,0,0,1395830.4427461228,1.4
1784,61.62,261335.0,9382.041150557125,8491.62417660865,8.954291381835937,2,3.0,7753.76533124674,0,1.0,372405.0,269062.0,614.3,5381249.0,5886101.0,5.89,902722.0,914811.0,645750.0,392407.0,2855690.0,3421843.0,566153.0,0.57,4229031.0,1373341.0,1.37,5036218.0,2180528.0,2.18,0.05041831176260072,427916.0,0,0,1375897.1343391982,1.38
1785,62.24,264535.0,8986.650214893354,8905.212813543907,7.416202392578125,2,3.0,8105.431061100857,0,1.0,377661.0,272860.0,623.0,5457198.0,5810834.0,5.81,901217.0,927724.0,654864.0,387389.0,2871194.0,3467033.0,595839.0,0.6,4285613.0,1414419.0,1.41,5104192.0,2232998.0,2.23,0.05103567490814312,433155.0,0,0,1373402.052660524,1.37
1786,62.13,245494.0,8602.154847416912,9327.198199317127,5.131767578125,2,3.0,8469.445044777272,0,1.0,363906.0,262922.0,600.3,5258440.0,5582039.0,5.58,896641.0,893935.0,631013.0,372136.0,2793725.0,3348772.0,555047.0,0.56,4137538.0,1343813.0,1.34,4926304.0,2132579.0,2.13,0.047362171266182876,401977.0,0,0,1325060.6419906595,1.33
1787,61.34,246473.0,9307.498008024444,9189.058413904777,6.5307373046875,2,3.0,8460.698494235296,0,1.0,368901.0,266531.0,608.5,5330616.0,5834838.0,5.83,901697.0,906205.0,639674.0,388989.0,2836565.0,3391717.0,555152.0,0.56,4191309.0,1354744.0,1.35,4990901.0,2154336.0,2.15,0.04755104580352225,403580.0,0,0,1301607.6846551884,1.3
1788,62.03,245494.0,8936.817392308882,9598.642020197241,4.336285095214844,2,3.0,8812.510743065986,0,1.0,360623.0,260550.0,594.9,5210996.0,5655358.0,5.66,898107.0,885870.0,625320.0,377024.0,2786321.0,3320543.0,534222.0,0.53,4102192.0,1315871.0,1.32,4883841.0,2097520.0,2.1,0.047362171266182876,401977.0,0,0,1323864.2524589163,1.32
1789,60.66,259273.0,9689.80563454621,8754.835321110817,10.05787109375,2,3.0,8122.502544005276,0,1.0,372405.0,269062.0,614.3,5381249.0,5978431.0,5.98,904569.0,914811.0,645750.0,398562.0,2863692.0,3421843.0,558151.0,0.56,4229031.0,1365339.0,1.37,5036218.0,2172526.0,2.17,0.050020498385691836,424539.0,0,0,1373793.6084515858,1.37
1792,61.91,259273.0,9785.64760396216,8087.802362757297,8.328961791992187,2,3.0,7416.826784350516,0,1.0,372405.0,269062.0,614.3,5381249.0,6007183.0,6.01,905144.0,914811.0,645750.0,400479.0,2866184.0,3421843.0,555659.0,0.56,4229031.0,1362847.0,1.36,5036218.0,2170034.0,2.17,0.050020498385691836,424539.0,0,0,1388673.6389235163,1.39
1838,63.6,257013.0,7530.512985263677,8929.778773455488,2.5925933837890627,2,3.0,9629.807900262458,0,1.0,379543.0,274219.0,626.1,5484389.0,5389513.0,5.39,892790.0,932345.0,658127.0,359301.0,2842563.0,3483211.0,640648.0,0.64,4305870.0,1463307.0,1.46,5128528.0,2285965.0,2.29,0.04958448566415252,420839.0,0,0,1415441.9862709467,1.42
1862,62.55,259345.0,7910.642382623621,9047.026336586981,4.496915893554688,2,3.0,9933.760117592008,0,1.0,376258.0,271846.0,620.7,5436921.0,5476458.0,5.48,894529.0,924276.0,652431.0,365097.0,2836333.0,3454968.0,618635.0,0.62,4270506.0,1434173.0,1.43,5086044.0,2249711.0,2.25,0.05003438905646654,424657.0,0,0,1410943.4672303088,1.41
1863,63.35,260573.0,7603.647074914554,8564.880962972386,3.72845703125,2,3.0,9663.110397912224,0,1.0,378275.0,273303.0,624.0,5466067.0,5400995.0,5.4,893020.0,929230.0,655928.0,360066.0,2838244.0,3472310.0,634066.0,0.63,4292220.0,1453976.0,1.45,5112130.0,2273886.0,2.27,0.05027130216356843,426668.0,0,0,1406987.7346798608,1.41
1864,63.59,261325.0,7740.947736452457,8208.91572410922,4.322911682128907,2,3.0,8959.226458528326,0,1.0,347996.0,251427.0,574.0,5028539.0,5192455.0,5.19,888849.0,854852.0,603425.0,346164.0,2693290.0,3211981.0,518691.0,0.52,3966262.0,1272972.0,1.27,4720542.0,2027252.0,2.03,0.0504163825027709,427899.0,0,0,1390219.0702463642,1.39
1865,61.65,248782.0,8011.559518869775,8684.82519300503,6.53275146484375,2,3.0,9351.42561354706,0,1.0,339979.0,245635.0,560.8,4912692.0,5207516.0,5.21,889150.0,835159.0,589523.0,347168.0,2661000.0,3143052.0,482052.0,0.48,3879956.0,1218956.0,1.22,4616859.0,1955859.0,1.96,0.047996511898227685,407361.0,0,0,1272973.4290941814,1.27
1866,62.25,249311.0,8303.487218650811,9163.300709928824,4.321352233886719,2,3.0,9434.824519473686,0,1.0,363164.0,262386.0,599.1,5247713.0,5486316.0,5.49,894726.0,892112.0,629726.0,365754.0,2782318.0,3342389.0,560071.0,0.56,4129546.0,1347228.0,1.35,4916703.0,2134385.0,2.13,0.04809856974322516,408227.0,0,0,1350554.234192113,1.35
1867,61.29,248863.0,8429.396360886654,8546.684571406293,7.71783935546875,2,3.0,8895.526928945475,0,1.0,343395.0,248103.0,566.4,4962059.0,5361044.0,5.36,892221.0,843550.0,595447.0,357403.0,2688621.0,3172425.0,483804.0,0.48,3916734.0,1228113.0,1.23,4661043.0,1972422.0,1.97,0.04801213890284923,407494.0,0,0,1257876.823373373,1.26
1868,61.57,248785.0,8707.326631913704,9031.3720677551,6.303343505859375,2,3.0,8935.976971821241,0,1.0,352129.0,254413.0,580.9,5088261.0,5516457.0,5.52,895329.0,865004.0,610591.0,367764.0,2738688.0,3247515.0,508827.0,0.51,4010754.0,1272066.0,1.27,4773994.0,2035306.0,2.04,0.047997090676176635,407366.0,0,0,1294304.7007321746,1.29
1869,62.93,268464.0,8172.631702397011,8063.8671182009,6.82675537109375,2,3.0,8651.080694263506,0,1.0,351938.0,254275.0,580.5,5085500.0,5354472.0,5.35,892089.0,864535.0,610260.0,356965.0,2723849.0,3245873.0,522024.0,0.52,4008698.0,1284849.0,1.28,4771522.0,2047673.0,2.05,0.05179368109527939,439589.0,0,0,1365221.3453608926,1.37
1873,62.84,283263.0,7939.086526617543,7583.226296561487,9.89959228515625,2,3.0,8255.893344039077,0,1.0,372413.0,269068.0,614.3,5381362.0,5453280.0,5.45,894066.0,914831.0,645763.0,363552.0,2818212.0,3421910.0,603698.0,0.6,4229115.0,1410903.0,1.41,5036319.0,2218107.0,2.22,0.05464879271742999,463821.0,0,0,1394722.8646239408,1.39
1880,61.43,248702.0,9120.700310796858,8921.838456053325,7.000508422851563,2,3.0,8437.204541808833,0,1.0,343131.0,247912.0,566.0,4958238.0,5566255.0,5.57,896325.0,842901.0,594989.0,371084.0,2705299.0,3170152.0,464853.0,0.46,3913887.0,1208588.0,1.21,4657623.0,1952324.0,1.95,0.04798107781958912,407230.0,0,0,1253060.8007242468,1.25
1881,61.77,250862.0,8855.752937693407,8433.035496049017,7.06880126953125,2,3.0,8397.39546846163,0,1.0,338794.0,244779.0,558.9,4895580.0,5451007.0,5.45,894020.0,832249.0,587470.0,363400.0,2677139.0,3132870.0,455731.0,0.46,3867207.0,1190068.0,1.19,4601544.0,1924405.0,1.92,0.048397797942830244,410767.0,0,0,1274649.0983369753,1.27
1882,62.55,276063.0,8611.70982021346,7944.596472865129,8.6295068359375,2,3.0,8359.399572075625,0,1.0,360587.0,260524.0,594.8,5210476.0,5557529.0,5.56,896151.0,885782.0,625257.0,370502.0,2777692.0,3320233.0,542541.0,0.54,4101805.0,1324113.0,1.32,4883376.0,2105684.0,2.11,0.0532597256399596,452031.0,0,0,1361396.685011876,1.36
