cell_id,score_idoneidad,escala_optima,VAN_esperado,VAN_p50,VAN_p5,VAN_p95,prob_VAN_positivo,prob_TIR_sobre_WACC,TIR_p50,utilizacion_media
13917.0,85.57,Grande,665481.7130095842,694039.5244152853,-5110175.265006868,6475314.79666395,0.57188,0.57188,0.08696726464454452,0.9350691824150075
13918.0,85.3,Grande,254345.7746005573,231398.84952220693,-5621299.445787851,6163651.243143002,0.52476,0.52476,0.08232590335381584,0.9146404916712815
13919.0,89.0,Grande,360386.3489446379,383690.1399986185,-5555097.955483085,6149047.637112602,0.53936,0.53936,0.08385484833395795,0.9208467888694893
13923.0,87.76,Grande,1054068.1485974535,1126763.0129294377,-4473065.123955499,6544783.179594075,0.6228,0.6228,0.09104533072038679,0.9668410460777325
13924.0,88.14,Grande,1361629.5812936646,1400947.003238407,-3946388.270519949,6643529.719132062,0.65732,0.65732,0.0936784630433849,0.9815447270729843
13925.0,87.86,Grande,727539.5539452336,766184.1363995085,-4948879.832922396,6374844.424653298,0.58576,0.58576,0.08756656735947699,0.952084872302387
13926.0,88.21,Grande,1002670.2537911853,1026885.7694673091,-4611082.312069202,6574490.442418998,0.61344,0.61344,0.09017904973844015,0.9585787537527902
13927.0,88.47,Grande,1106854.4756349893,1114640.259050781,-4494072.0136811705,6714464.938359077,0.6288,0.6288,0.09110397478341903,0.9552023183935393
13928.0,88.41,Grande,1155028.66025792,1219289.680007862,-4416876.971515248,6607247.369177119,0.63516,0.63516,0.09205855124823092,0.96308883000094
13929.0,88.05,Grande,699958.8611781512,736650.8518644739,-4991332.967573566,6338144.801902666,0.58272,0.58272,0.08722939321819512,0.9515564297667474
13930.0,85.38,Grande,1483952.3585799786,1516520.6119971992,-3777805.5301948544,6680620.843267097,0.6738,0.6738,0.094854883511306,0.9868738516583666
13931.0,83.16,Grande,1610989.1381588788,1666547.5793071156,-3632414.4761631037,6816726.258120582,0.69132,0.69132,0.0963445348810349,0.9879367261239681
13932.0,89.1,Grande,1492034.896339511,1542151.4325640695,-3893764.498033542,6858025.104745916,0.67096,0.67096,0.0953392118676788,0.9753106133049031
13933.0,88.94,Grande,1307103.6506509364,1352765.8553245543,-4172938.629060531,6718853.299527344,0.65152,0.65152,0.09340634275530801,0.9687335485391478
13934.0,88.14,Grande,986245.8048280254,1025132.4019706184,-4477633.733319907,6415295.968685198,0.61696,0.61696,0.08997473132322875,0.9700978398328229
13935.0,89.53,Grande,1181003.4459988796,1222440.3158146823,-4467220.370029837,6826615.092837761,0.63032,0.63032,0.09219028344778624,0.9571562995504961
13936.0,90.61,Grande,1469742.0363293078,1505102.0776976245,-4101118.2202812317,7104869.100774466,0.66208,0.66208,0.09531508265875344,0.9558424533918678
13937.0,89.25,Grande,1102125.3776435982,1157707.3714323249,-4526829.774021179,6699086.981781731,0.62188,0.62188,0.09157822591854992,0.9513743578509265
13940.0,88.72,Grande,1068828.1651776852,1099462.686407297,-4603964.848726513,6728637.551847821,0.62012,0.62012,0.09096798371977555,0.9527704186776318
13941.0,88.84,Grande,780089.5629797718,790967.7897259034,-4938045.95360959,6537480.917445444,0.58448,0.58448,0.08795959220353156,0.9417185455735494
13943.0,89.28,Grande,442223.39867951936,454421.0830401741,-5357052.298469702,6304886.243121703,0.54764,0.54764,0.084611523890042,0.9193560592937287
13960.0,89.92,Grande,26388.683515621935,-39899.74221307039,-5914605.348867888,6093221.753783498,0.49664,0.49664,0.07959809879584112,0.8978562453022501
13961.0,87.32,Grande,136792.2113404571,78496.14622780867,-5693101.48137132,6068166.362409428,0.50824,0.50824,0.08080220911725222,0.9019148361618218
14344.0,90.59,Grande,-1773322.6503477693,-1869294.563238982,-7481038.6411803765,4230847.7059377,0.3034,0.3034,0.06083375050730844,0.8298218019218228
14345.0,88.49,Mediana,-1488882.7194443946,-1437639.8671193747,-4267565.848134691,1111888.1254950801,0.1882,0.1882,0.052008237347214714,1.0
14346.0,87.94,Grande,-1656219.7075006412,-1721644.4857956711,-7416494.2444898905,4282140.765073671,0.31756,0.31756,0.06232216732130891,0.8309258459345664
14348.0,91.13,Mediana,-1672551.1025976269,-1613489.255390129,-4435492.228887715,925221.6647951845,0.15956,0.15956,0.04903616660168497,1.0
14358.0,88.14,Grande,-1501569.2428104992,-1593120.0636194507,-7313481.167238079,4537439.871819773,0.33076,0.33076,0.06337773239653477,0.8289724700290391
14363.0,90.88,Mediana,-1732543.722678797,-1673513.2991618346,-4514068.718383138,886736.100392204,0.14864,0.14864,0.04815533386270621,1.0
14364.0,90.71,Mediana,-1801488.5872143786,-1743030.8869897868,-4560725.183308248,798367.2391191672,0.1374,0.1374,0.04698969907168271,1.0
14365.0,91.24,Mediana,-1702785.5590526618,-1634684.7501801802,-4428548.807456183,864043.7728598363,0.15196,0.15196,0.04870706315644191,1.0
14367.0,91.2,Mediana,-1634510.0218127477,-1579566.339449834,-4375677.491212272,943753.4976349653,0.16164,0.16164,0.04966729888067778,1.0
14368.0,91.57,Mediana,-1573957.7947503962,-1509085.155150488,-4353422.905542058,994087.4094005461,0.17056,0.17056,0.05088319138063768,1.0
14369.0,88.19,Mediana,-1635926.9572176316,-1591943.3925268576,-4409533.205836439,968236.066639799,0.16264,0.16264,0.049425135662363284,1.0
14372.0,90.01,Mediana,-1241114.8215873803,-1188578.3848911873,-3995058.143326699,1344298.1680806282,0.2262,0.2262,0.05626811512963836,1.0
14373.0,90.85,Mediana,-1248229.5225449782,-1201226.707724853,-3981831.496325015,1315322.1339384068,0.22832,0.22832,0.05599440264190447,1.0
14374.0,90.22,Mediana,-1329889.1152145935,-1277351.6706813616,-4065647.781193724,1241198.956545309,0.21496,0.21496,0.05467553243001855,1.0
14375.0,88.94,Mediana,-1452362.1912167976,-1411439.4936707933,-4194503.5639838595,1113995.837763185,0.18832,0.18832,0.05238131532285317,1.0
14378.0,90.82,Mediana,-1340996.5152527986,-1286116.2952387566,-4108327.2115370748,1238683.4642221013,0.2118,0.2118,0.05457359190817457,1.0
14380.0,91.89,Mediana,-1520468.9086564346,-1457376.4164210795,-4292980.187375467,1064594.8092025758,0.1794,0.1794,0.05172885130293847,1.0
14381.0,88.66,Mediana,-1462766.4354731634,-1413549.6724112881,-4209480.640010379,1123020.8660646873,0.19256,0.19256,0.05246135477849101,1.0
15109.0,87.19,Grande,-790913.7316218152,-911301.7567322245,-6595802.746206037,5267357.999726355,0.405,0.405,0.07044613338274763,0.8526384737725605
15118.0,83.52,Mediana,-1578633.2262906565,-1527970.8544239532,-4309463.2021558015,1036238.9188329955,0.17308,0.17308,0.0504528629071892,1.0
15120.0,85.61,Grande,-949008.892152392,-1070071.7205936033,-6743502.812283406,5172172.723301291,0.38796,0.38796,0.0686277107589478,0.8359043332334594
15122.0,91.25,Mediana,-1137567.4969443537,-1097367.448722675,-3854415.0073639723,1449962.2544473754,0.2464,0.2464,0.05789024984702951,1.0
15123.0,90.49,Mediana,-1146861.3221496693,-1103314.858541158,-3879073.4182192665,1431386.923922579,0.24604,0.24604,0.05775167526741032,1.0
15124.0,89.5,Mediana,-1250079.4482333162,-1203949.642133296,-3969546.8509377306,1330930.427048579,0.22468,0.22468,0.055963750405936485,1.0
15125.0,90.59,Mediana,-1114572.3478622662,-1052750.9216163545,-3844208.248511061,1448927.4809044034,0.25096,0.25096,0.058716867391725214,1.0
15127.0,89.26,Mediana,-1298430.3101939869,-1255614.3517584922,-4034247.7921663267,1296741.1142537268,0.21768,0.21768,0.05494661776085896,1.0
15129.0,85.82,Mediana,-1357848.0454211691,-1315199.717699815,-4103750.8113793973,1234695.2576848203,0.21092,0.21092,0.05401217365292721,1.0
15130.0,86.81,Mediana,-1331898.4742228473,-1272504.235980432,-4059111.0419196743,1247995.9780471085,0.20776,0.20776,0.05481852372975182,1.0
15131.0,88.81,Mediana,-1450707.4833876118,-1396595.1267377124,-4201755.46991434,1110500.7321949883,0.18948,0.18948,0.052730035793962404,1.0
15134.0,91.49,Mediana,-1092832.027566973,-1059192.1011813893,-3820094.7366081476,1501178.2001395284,0.25152,0.25152,0.05851075518174376,1.0
15135.0,90.83,Mediana,-1226576.8006245047,-1177024.5068624262,-3980633.9918613094,1354101.1820633442,0.2328,0.2328,0.05639176026939274,1.0
15151.0,83.93,Mediana,-1718998.0514126578,-1651091.543149848,-4482011.709940367,850824.7516056494,0.1466,0.1466,0.048558727499492305,1.0
16030.0,89.65,Mediana,-1265681.4333952116,-1221462.3271393366,-4010844.3405999234,1319530.3664470548,0.2262,0.2262,0.05571725879160949,1.0
16031.0,89.86,Mediana,-1250004.1209847366,-1204972.2121993145,-3975783.7734997026,1344955.5492031989,0.22508,0.22508,0.056042057006956525,1.0
16035.0,88.77,Mediana,-1373643.8400774032,-1328599.992248369,-4101309.7518397835,1208864.6958209341,0.2032,0.2032,0.053857383036296946,1.0
16036.0,89.07,Grande,-1325570.8747624473,-1446990.2630248442,-7004992.803026606,4679132.325778697,0.35076,0.35076,0.06481394234609927,0.8325260663766054
16039.0,87.86,Mediana,-1509149.001836555,-1450000.68011525,-4275686.619485873,1088296.6068717674,0.18408,0.18408,0.0518270139372784,1.0
